epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,3478.75,0.48512,0.35774,0.80035,0.93757,0.96835,0.95444,0.73109,0.90089,0.54377,0.84774,0.00017335,0.00017335,0.00017335
169,3499.28,0.46435,0.36561,0.81292,0.92913,0.97361,0.95882,0.735,0.91257,0.53825,0.84971,0.0001684,0.0001684,0.0001684
170,3519.79,0.49884,0.37069,0.80604,0.92306,0.97624,0.96019,0.7333,0.89597,0.53694,0.84724,0.00016345,0.00016345,0.00016345
171,3540.29,0.47666,0.36945,0.79773,0.92322,0.97736,0.9569,0.73345,0.9019,0.53572,0.84848,0.0001585,0.0001585,0.0001585
172,3560.86,0.49438,0.37117,0.80724,0.93124,0.97313,0.95546,0.73413,0.90331,0.531,0.84798,0.00015355,0.00015355,0.00015355
173,3581.13,0.48589,0.35922,0.79161,0.91985,0.97732,0.94846,0.72771,0.91314,0.53808,0.85072,0.0001486,0.0001486,0.0001486
174,3601.49,0.53686,0.37556,0.81042,0.91351,0.98166,0.9497,0.72869,0.91036,0.54163,0.85129,0.00014365,0.00014365,0.00014365
175,3621.96,0.47834,0.36084,0.80623,0.9332,0.97628,0.95173,0.73272,0.90652,0.53535,0.84847,0.0001387,0.0001387,0.0001387
176,3642.23,0.45233,0.3458,0.80257,0.93119,0.97711,0.95411,0.72812,0.92711,0.54382,0.85404,0.00013375,0.00013375,0.00013375
177,3662.52,0.46929,0.3611,0.80732,0.93162,0.97708,0.95782,0.73894,0.89747,0.5431,0.84931,0.0001288,0.0001288,0.0001288
178,3682.84,0.47627,0.35988,0.80167,0.93263,0.97803,0.95479,0.74122,0.87991,0.52996,0.84456,0.00012385,0.00012385,0.00012385
179,3703.28,0.48877,0.354,0.80233,0.93264,0.97542,0.95596,0.73676,0.88942,0.52153,0.84574,0.0001189,0.0001189,0.0001189
180,3723.57,0.47125,0.46975,0.79297,0.91803,0.98041,0.95794,0.7377,0.88994,0.51803,0.84529,0.00011395,0.00011395,0.00011395
181,3743.87,0.45088,0.34919,0.79684,0.93199,0.97648,0.95879,0.73434,0.9085,0.52314,0.84896,0.000109,0.000109,0.000109
