epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2413.4,0.60444,0.46639,0.81007,0.91204,0.95943,0.97493,0.76874,0.80748,0.60095,0.84083,0.00044065,0.00044065,0.00044065
115,2434.54,0.62443,0.47138,0.82381,0.92936,0.95282,0.97613,0.76552,0.83359,0.58268,0.84086,0.0004357,0.0004357,0.0004357
116,2455.84,0.62087,0.45139,0.81849,0.94416,0.95278,0.97707,0.77723,0.81344,0.56776,0.8387,0.00043075,0.00043075,0.00043075
117,2476.91,0.6503,0.47305,0.82287,0.94148,0.95646,0.97005,0.76326,0.83047,0.58445,0.84231,0.0004258,0.0004258,0.0004258
118,2498.12,0.61311,0.45316,0.81022,0.94189,0.95417,0.96585,0.76268,0.84079,0.57116,0.84216,0.00042085,0.00042085,0.00042085
119,2519.39,0.5756,0.43376,0.82474,0.93655,0.95347,0.9678,0.75861,0.82857,0.57107,0.84322,0.0004159,0.0004159,0.0004159
120,2540.47,0.60749,0.45301,0.82159,0.89769,0.97407,0.97326,0.76425,0.84597,0.60922,0.84208,0.00041095,0.00041095,0.00041095
121,2561.61,0.64055,0.48005,0.82401,0.90395,0.94594,0.96946,0.75945,0.84364,0.62815,0.84532,0.000406,0.000406,0.000406
122,2583,0.63813,0.44999,0.82079,0.90447,0.96479,0.97564,0.76721,0.82435,0.59718,0.84169,0.00040105,0.00040105,0.00040105
123,2604.1,0.60841,0.44327,0.82215,0.89934,0.97614,0.97312,0.75462,0.84668,0.58894,0.84759,0.0003961,0.0003961,0.0003961
124,2625.33,0.61275,0.45776,0.82052,0.89949,0.96991,0.9726,0.75874,0.84448,0.57573,0.8438,0.00039115,0.00039115,0.00039115
125,2646.45,0.62124,0.46481,0.82286,0.92808,0.96838,0.97499,0.74923,0.84625,0.55023,0.84173,0.0003862,0.0003862,0.0003862
126,2667.71,0.60064,0.44417,0.81513,0.95381,0.97211,0.97947,0.77775,0.80951,0.51667,0.8383,0.00038125,0.00038125,0.00038125
127,2688.99,0.58771,0.43589,0.80728,0.95714,0.97949,0.98011,0.76926,0.84084,0.52694,0.84207,0.0003763,0.0003763,0.0003763
128,2710.19,0.57687,0.42711,0.81066,0.94169,0.98486,0.9791,0.76741,0.83585,0.53764,0.83953,0.00037135,0.00037135,0.00037135
129,2731.29,0.59588,0.43581,0.817,0.93213,0.97881,0.97989,0.77647,0.82766,0.53967,0.83932,0.0003664,0.0003664,0.0003664
130,2752.75,0.57659,0.42128,0.81424,0.93629,0.97131,0.97921,0.77274,0.8397,0.53599,0.84543,0.00036145,0.00036145,0.00036145
